                           Name,Observed.Clock.Today,Predicted.Clock.Today,Observed.ExtraVariables.Script.AccumTtemerg,Predicted.ExtraVariables.Script.AccumTtemerg,Observed.Potato.Leaf.Live.Wt,Predicted.Potato.Leaf.Live.Wt,Observed.Potato.Stem.Live.Wt,Predicted.Potato.Stem.Live.Wt,Observed.Potato.Tuber.Live.Wt,Predicted.Potato.Tuber.Live.Wt,Observed.Potato.Stem.Live.N,Predicted.Potato.Stem.Live.N,Observed.Potato.Tuber.Live.N,Predicted.Potato.Tuber.Live.N,Observed.Potato.Leaf.LAI,Predicted.Potato.Leaf.LAI,Observed.Potato.Leaf.SpecificArea,Predicted.Potato.Leaf.SpecificArea,Observed.PotatoHarvestRule.Script.FinalTag,Predicted.PotatoHarvestRule.Script.FinalTag,Observed.Potato.Tuber.LiveFWt,Predicted.Potato.Tuber.LiveFWt
  BaxtersSowing14OctPopulation2,          1998-12-07,           1998-12-07,                                    226.510,                                     226.507,                      23.630,                       16.653,                      12.980,                       12.875,                        5.530,                         0.000,                           ,                       0.663,                            ,                        0.000,                   0.560,                    0.446,                        23720.381,                         26803.791,                                          ,                                           ,                       33.280,                         0.000
  BaxtersSowing14OctPopulation2,          1998-12-21,           1998-12-21,                                    397.280,                                     397.283,                      73.440,                       61.138,                      56.430,                       39.598,                       63.200,                        53.815,                           ,                       1.395,                            ,                        1.051,                   2.010,                    1.561,                        27288.859,                         25524.447,                                          ,                                           ,                      382.860,                       386.909
  BaxtersSowing14OctPopulation2,          1999-01-05,           1999-01-05,                                    594.260,                                     594.255,                     132.690,                      120.762,                     132.210,                       73.103,                      393.650,                       239.469,                           ,                       2.217,                            ,                        3.853,                   3.920,                    2.953,                        28989.779,                         24455.201,                                          ,                                           ,                     1883.300,                      1477.932
  BaxtersSowing14OctPopulation2,          1999-01-18,           1999-01-18,                                    770.470,                                     770.471,                     153.580,                      119.051,                     180.070,                       91.187,                      413.710,                       492.180,                           ,                       3.089,                            ,                        8.941,                   4.690,                    3.418,                        30716.930,                         28711.864,                                          ,                                           ,                     3020.390,                      2526.025
  BaxtersSowing14OctPopulation2,          1999-02-01,           1999-02-01,                                    961.250,                                     961.248,                     138.610,                      112.094,                     170.770,                      103.938,                      896.880,                       776.862,                           ,                       4.054,                            ,                       15.612,                   4.060,                    3.083,                        29311.250,                         27506.942,                                          ,                                           ,                     3883.220,                      3531.191
  BaxtersSowing14OctPopulation2,          1999-02-15,           1999-02-15,                                   1156.600,                                    1156.603,                     117.590,                       73.538,                     176.060,                      120.413,                     1113.440,                      1048.945,                           ,                       4.178,                            ,                       20.145,                   3.300,                    2.014,                        28059.910,                         27390.996,                                          ,                                           ,                     5079.040,                      4767.931
  BaxtersSowing14OctPopulation2,          1999-03-01,           1999-03-01,                                   1333.060,                                    1333.060,                      87.220,                       30.429,                     203.510,                      133.131,                     1455.390,                      1200.031,                           ,                       4.460,                            ,                       22.452,                   2.700,                    0.821,                        31000.000,                         26976.076,                                          ,                                           ,                     5903.020,                      5454.686
  BaxtersSowing14OctPopulation2,          1999-03-16,           1999-03-16,                                   1526.820,                                    1526.824,                      42.500,                        7.760,                     169.990,                      141.796,                     1585.270,                      1275.170,                           ,                       4.543,                            ,                       23.241,                   1.320,                    0.207,                        31000.000,                         26662.109,                                          ,                                           ,                     6206.560,                      5796.227
  BaxtersSowing14OctPopulation2,          1999-04-27,           1999-04-27,                                           ,                                    1999.304,                            ,                        0.000,                            ,                      143.078,                     1565.910,                      1291.626,                           ,                       4.543,                            ,                       23.241,                        ,                    0.000,                                 ,                             0.000,                                     yield,                                           ,                     6390.690,                      5871.028
  BaxtersSowing14OctPopulation4,          1998-12-07,           1998-12-07,                                    226.510,                                     226.507,                      37.790,                       32.073,                      29.400,                       25.664,                        7.240,                         0.000,                           ,                       1.343,                            ,                        0.000,                   0.970,                    0.852,                        25652.760,                         26570.588,                                          ,                                           ,                       26.020,                         0.000
  BaxtersSowing14OctPopulation4,          1998-12-21,           1998-12-21,                                    397.280,                                     397.283,                      92.960,                       81.797,                      69.760,                       67.407,                      111.040,                        91.265,                           ,                       2.738,                            ,                        1.862,                   2.700,                    2.420,                        29193.660,                         29590.546,                                          ,                                           ,                      660.890,                       656.160
  BaxtersSowing14OctPopulation4,          1999-01-05,           1999-01-05,                                    594.260,                                     594.255,                     129.450,                      120.187,                     124.320,                      112.871,                      419.430,                       385.661,                           ,                       3.938,                            ,                        6.945,                   3.660,                    3.751,                        28373.471,                         31210.497,                                          ,                                           ,                     1913.490,                      2380.183
  BaxtersSowing14OctPopulation4,          1999-01-18,           1999-01-18,                                    770.470,                                     770.471,                     153.880,                      124.924,                     166.540,                      128.749,                      643.150,                       645.399,                           ,                       4.986,                            ,                       13.123,                   4.670,                    3.908,                        30349.551,                         31285.626,                                          ,                                           ,                     3353.750,                      3312.396
  BaxtersSowing14OctPopulation4,          1999-02-01,           1999-02-01,                                    961.250,                                     961.248,                     158.780,                      106.825,                     187.830,                      140.236,                     1166.920,                       948.579,                           ,                       5.083,                            ,                       18.922,                   5.440,                    3.334,                        34071.930,                         31206.272,                                          ,                                           ,                     4861.320,                      4311.724
  BaxtersSowing14OctPopulation4,          1999-02-15,           1999-02-15,                                   1156.600,                                    1156.603,                     100.650,                       64.147,                     160.240,                      156.080,                     1214.670,                      1260.722,                           ,                       4.204,                            ,                       22.884,                   3.300,                    1.993,                        32752.221,                         31069.233,                                          ,                                           ,                     4801.580,                      5730.557
  BaxtersSowing14OctPopulation4,          1999-03-01,           1999-03-01,                                   1333.060,                                    1333.060,                      74.930,                       23.633,                     174.850,                      167.605,                     1574.490,                      1422.935,                           ,                       3.970,                            ,                       25.542,                   2.550,                    0.717,                        34000.000,                         30321.785,                                          ,                                           ,                     6132.610,                      6467.888
  BaxtersSowing14OctPopulation4,          1999-03-16,           1999-03-16,                                   1526.820,                                    1526.824,                      33.090,                        6.156,                     132.350,                      174.482,                     1534.130,                      1494.050,                           ,                       3.943,                            ,                       26.892,                   1.120,                    0.172,                        34000.000,                         27868.251,                                          ,                                           ,                     6082.390,                      6791.136
  BaxtersSowing14OctPopulation4,          1999-04-27,           1999-04-27,                                           ,                                    1999.304,                            ,                        0.000,                            ,                      175.419,                     1612.600,                      1508.082,                           ,                       4.049,                            ,                       27.084,                        ,                    0.000,                                 ,                             0.000,                                     yield,                                           ,                     6375.720,                      6854.917
  BaxtersSowing23NovPopulation2,          1999-01-05,           1999-01-05,                                    290.650,                                     290.652,                      68.710,                       49.837,                      49.080,                       35.058,                       33.830,                         0.000,                           ,                       0.898,                            ,                        0.000,                   1.710,                    1.293,                        24631.859,                         25947.417,                                          ,                                           ,                      198.230,                         0.000
  BaxtersSowing23NovPopulation2,          1999-01-18,           1999-01-18,                                    466.870,                                     466.869,                     110.290,                       76.010,                     103.600,                       60.070,                      167.970,                       175.666,                           ,                       2.119,                            ,                        3.032,                   3.470,                    2.324,                        31103.230,                         30573.855,                                          ,                                           ,                     1021.390,                      1161.994
  BaxtersSowing23NovPopulation2,          1999-02-01,           1999-02-01,                                    657.650,                                     657.645,                     135.330,                       79.247,                     202.580,                       71.577,                      379.320,                       443.003,                           ,                       2.984,                            ,                        9.162,                   4.430,                    2.426,                        32452.850,                         30614.994,                                          ,                                           ,                     1982.070,                      2075.654
  BaxtersSowing23NovPopulation2,          1999-02-15,           1999-02-15,                                    853.000,                                     853.001,                     127.150,                       68.355,                     186.740,                       84.542,                      598.810,                       741.712,                           ,                       2.984,                            ,                       14.174,                   4.200,                    2.061,                        33078.121,                         30151.106,                                          ,                                           ,                     2726.330,                      3371.419
  BaxtersSowing23NovPopulation2,          1999-03-01,           1999-03-01,                                   1029.460,                                    1029.457,                      91.040,                       41.120,                     212.420,                       99.318,                     1038.550,                       923.441,                           ,                       3.142,                            ,                       16.831,                   2.820,                    1.192,                        31000.000,                         28998.898,                                          ,                                           ,                     4840.940,                      4197.460
  BaxtersSowing23NovPopulation2,          1999-03-16,           1999-03-16,                                   1223.220,                                    1223.222,                      42.810,                        8.239,                     171.260,                      101.894,                     1061.210,                      1033.184,                           ,                       3.174,                            ,                       18.039,                   1.330,                    0.241,                        31000.000,                         29267.973,                                          ,                                           ,                     4644.190,                      4696.289
  BaxtersSowing23NovPopulation2,          1999-03-28,           1999-03-28,                                   1378.360,                                    1378.363,                      23.800,                        0.219,                      95.210,                      101.894,                     1002.700,                      1048.792,                           ,                       3.174,                            ,                       18.039,                   0.740,                    0.006,                        31000.000,                         28887.650,                                          ,                                           ,                     4104.220,                      4767.236
  BaxtersSowing23NovPopulation2,          1999-04-27,           1999-04-27,                                   1695.700,                                    1695.701,                            ,                        0.000,                            ,                      101.894,                     1056.030,                      1048.906,                           ,                       3.174,                            ,                       18.039,                        ,                    0.000,                                 ,                             0.000,                                     yield,                                           ,                     4554.340,                      4767.756
